distance id optim_v-1 optim_v-2 optim_v-3 optim_v-4 optim_v-5 
13653.24 265 246.9278 0.04291547 0.0002077388 230.6618 2.52832 
13653.24 266 246.9278 0.04291547 0.0002077388 230.6618 2.52832 
13653.24 267 246.9278 0.04291547 0.0002077388 230.6618 2.52832 
13653.16 268 246.9278 0.04291647 0.0002077388 230.6618 2.52832 
13653.33 269 246.9278 0.04291447 0.0002077388 230.6618 2.52832 
13676.63 270 246.9278 0.04291547 0.0002087388 230.6618 2.52832 
13646.63 271 246.9278 0.04291547 0.0002067388 230.6618 2.52832 
13653.24 272 246.9278 0.04291547 0.0002077388 230.6618 2.52832 
13653.24 273 246.9278 0.04291547 0.0002077388 230.6618 2.52832 
13653.24 274 246.9278 0.04291547 0.0002077388 230.6618 2.528321 
13653.24 275 246.9278 0.04291547 0.0002077388 230.6618 2.528319 
176273.8 276 246.8402 0.02638627 9e-05 230.3437 3.589055 
176273.8 277 246.8402 0.02638627 9e-05 230.3437 3.589055 
176273.8 278 246.8402 0.02638627 9e-05 230.3437 3.589055 
176271.4 279 246.8402 0.02638727 9e-05 230.3437 3.589055 
176276.2 280 246.8402 0.02638527 9e-05 230.3437 3.589055 
176357.4 281 246.8402 0.02638627 9.1e-05 230.3437 3.589055 
176273.8 282 246.8402 0.02638627 9e-05 230.3437 3.589055 
176273.8 283 246.8402 0.02638627 9e-05 230.3437 3.589055 
176273.8 284 246.8402 0.02638627 9e-05 230.3437 3.589055 
176273.9 285 246.8402 0.02638627 9e-05 230.3437 3.589056 
176273.8 286 246.8402 0.02638627 9e-05 230.3437 3.589054 
13653.24 287 246.9278 0.04291446 0.0002077315 230.6618 2.528385 
13653.24 288 246.9278 0.04291446 0.0002077315 230.6618 2.528385 
13653.24 289 246.9278 0.04291446 0.0002077315 230.6618 2.528385 
13653.15 290 246.9278 0.04291546 0.0002077315 230.6618 2.528385 
13653.32 291 246.9278 0.04291346 0.0002077315 230.6618 2.528385 
13676.64 292 246.9278 0.04291446 0.0002087315 230.6618 2.528385 
13646.62 293 246.9278 0.04291446 0.0002067315 230.6618 2.528385 
13653.24 294 246.9278 0.04291446 0.0002077315 230.6618 2.528385 
13653.24 295 246.9278 0.04291446 0.0002077315 230.6618 2.528385 
13653.24 296 246.9278 0.04291446 0.0002077315 230.6618 2.528386 
13653.24 297 246.9278 0.04291446 0.0002077315 230.6618 2.528384 
13430.81 298 246.884 0.03465036 0.0001488658 230.5027 3.05872 
13430.81 299 246.884 0.03465036 0.0001488658 230.5027 3.05872 
13430.81 300 246.884 0.03465036 0.0001488658 230.5027 3.05872 
13429.63 301 246.884 0.03465136 0.0001488658 230.5027 3.05872 
13431.99 302 246.884 0.03464936 0.0001488658 230.5027 3.05872 
13667 303 246.884 0.03465036 0.0001498658 230.5027 3.05872 
13242.94 304 246.884 0.03465036 0.0001478658 230.5027 3.05872 
13430.81 305 246.884 0.03465036 0.0001488658 230.5027 3.05872 
13430.81 306 246.884 0.03465036 0.0001488658 230.5027 3.05872 
13430.81 307 246.884 0.03465036 0.0001488658 230.5027 3.058721 
13430.8 308 246.884 0.03465036 0.0001488658 230.5027 3.058719 
13430.44 309 246.8839 0.03464516 0.0001488287 230.5026 3.059054 
13430.44 310 246.8839 0.03464516 0.0001488287 230.5026 3.059054 
13430.44 311 246.8839 0.03464516 0.0001488287 230.5026 3.059054 
13429.26 312 246.8839 0.03464616 0.0001488287 230.5026 3.059054 
13431.63 313 246.8839 0.03464416 0.0001488287 230.5026 3.059054 
13666.99 314 246.8839 0.03464516 0.0001498287 230.5026 3.059054 
13242.26 315 246.8839 0.03464516 0.0001478287 230.5026 3.059054 
13430.44 316 246.8839 0.03464516 0.0001488287 230.5026 3.059054 
13430.44 317 246.8839 0.03464516 0.0001488287 230.5026 3.059054 
13430.45 318 246.8839 0.03464516 0.0001488287 230.5026 3.059055 
13430.44 319 246.8839 0.03464516 0.0001488287 230.5026 3.059053 
13429.75 320 246.8839 0.03463529 0.0001487584 230.5024 3.059687 
13429.75 321 246.8839 0.03463529 0.0001487584 230.5024 3.059687 
13429.75 322 246.8839 0.03463529 0.0001487584 230.5024 3.059687 
13428.56 323 246.8839 0.03463629 0.0001487584 230.5024 3.059687 
13430.93 324 246.8839 0.03463429 0.0001487584 230.5024 3.059687 
13666.97 325 246.8839 0.03463529 0.0001497584 230.5024 3.059687 
13240.97 326 246.8839 0.03463529 0.0001477584 230.5024 3.059687 
13429.75 327 246.8839 0.03463529 0.0001487584 230.5024 3.059687 
13429.75 328 246.8839 0.03463529 0.0001487584 230.5024 3.059687 
13429.75 329 246.8839 0.03463529 0.0001487584 230.5024 3.059688 
13429.74 330 246.8839 0.03463529 0.0001487584 230.5024 3.059686 
13381.85 331 246.862 0.03051078 0.0001193792 230.4231 3.324371 
13381.85 332 246.862 0.03051078 0.0001193792 230.4231 3.324371 
13381.85 333 246.862 0.03051078 0.0001193792 230.4231 3.324371 
13376.8 334 246.862 0.03051178 0.0001193792 230.4231 3.324371 
13386.9 335 246.862 0.03050978 0.0001193792 230.4231 3.324371 
14324.48 336 246.862 0.03051078 0.0001203792 230.4231 3.324371 
12585.1 337 246.862 0.03051078 0.0001183792 230.4231 3.324371 
13381.85 338 246.862 0.03051078 0.0001193792 230.4231 3.324371 
13381.85 339 246.862 0.03051078 0.0001193792 230.4231 3.324371 
13381.86 340 246.862 0.03051078 0.0001193792 230.4231 3.324372 
13381.83 341 246.862 0.03051078 0.0001193792 230.4231 3.32437 
13316.91 342 246.8591 0.02995766 0.0001154393 230.4124 3.359866 
13316.91 343 246.8591 0.02995766 0.0001154393 230.4124 3.359866 
13316.91 344 246.8591 0.02995766 0.0001154393 230.4124 3.359866 
13310.63 345 246.8591 0.02995866 0.0001154393 230.4124 3.359866 
13323.2 346 246.8591 0.02995666 0.0001154393 230.4124 3.359866 
14524.83 347 246.8591 0.02995766 0.0001164393 230.4124 3.359866 
12303.99 348 246.8591 0.02995766 0.0001144393 230.4124 3.359866 
13316.91 349 246.8591 0.02995766 0.0001154393 230.4124 3.359866 
13316.91 350 246.8591 0.02995766 0.0001154393 230.4124 3.359866 
13316.93 351 246.8591 0.02995766 0.0001154393 230.4124 3.359867 
13316.89 352 246.8591 0.02995766 0.0001154393 230.4124 3.359865 
13315.54 353 246.8591 0.02995329 0.0001154081 230.4123 3.360147 
13315.54 354 246.8591 0.02995329 0.0001154081 230.4123 3.360147 
13315.54 355 246.8591 0.02995329 0.0001154081 230.4123 3.360147 
13309.25 356 246.8591 0.02995429 0.0001154081 230.4123 3.360147 
13321.84 357 246.8591 0.02995229 0.0001154081 230.4123 3.360147 
14525.97 358 246.8591 0.02995329 0.0001164081 230.4123 3.360147 
12300.64 359 246.8591 0.02995329 0.0001144081 230.4123 3.360147 
13315.54 360 246.8591 0.02995329 0.0001154081 230.4123 3.360147 
13315.54 361 246.8591 0.02995329 0.0001154081 230.4123 3.360147 
13315.56 362 246.8591 0.02995329 0.0001154081 230.4123 3.360148 
13315.52 363 246.8591 0.02995329 0.0001154081 230.4123 3.360146 
164619.3 364 246.8496 0.02816978 0.0001027041 230.378 3.474601 
164619.3 365 246.8496 0.02816978 0.0001027041 230.378 3.474601 
164619.3 366 246.8496 0.02816978 0.0001027041 230.378 3.474601 
164614.2 367 246.8496 0.02817078 0.0001027041 230.378 3.474601 
164624.4 368 246.8496 0.02816878 0.0001027041 230.378 3.474601 
164834.6 369 246.8496 0.02816978 0.0001037041 230.378 3.474601 
164392.7 370 246.8496 0.02816978 0.0001017041 230.378 3.474601 
164619.3 371 246.8496 0.02816978 0.0001027041 230.378 3.474601 
164619.3 372 246.8496 0.02816978 0.0001027041 230.378 3.474601 
164619.4 373 246.8496 0.02816978 0.0001027041 230.378 3.474602 
164619.2 374 246.8496 0.02816978 0.0001027041 230.378 3.4746 
13315.16 375 246.8591 0.0299521 0.0001153997 230.4123 3.360223 
13315.16 376 246.8591 0.0299521 0.0001153997 230.4123 3.360223 
13315.16 377 246.8591 0.0299521 0.0001153997 230.4123 3.360223 
13308.86 378 246.8591 0.0299531 0.0001153997 230.4123 3.360223 
13321.46 379 246.8591 0.0299511 0.0001153997 230.4123 3.360223 
14526.27 380 246.8591 0.0299521 0.0001163997 230.4123 3.360223 
12299.72 381 246.8591 0.0299521 0.0001143997 230.4123 3.360223 
13315.16 382 246.8591 0.0299521 0.0001153997 230.4123 3.360223 
13315.16 383 246.8591 0.0299521 0.0001153997 230.4123 3.360223 
